"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"2 months","Italy","obesity","20","25","obese adult","obese adolescent","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","unchanged","","","","Study 36","Experiment 4"
"2 months","Italy","obesity","12","25","control adolescent","obese adolescent","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","decreased","","","","Study 36","Experiment 5"
"2 months","Italy","obesity","12","20","control adult","obese adult","","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","unchanged","unchanged","","","","Study 36","Experiment 6"
"3 months","China","colorectal cancer","20","19","Healthy controls","CRC patients","","Homo sapiens","feces","16S","3","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","sex, age, body mass index","","","unchanged","unchanged","","","","Study 37","Experiment 1"
"","Philippines","body odor measurement","15","15","child head","teen head","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 38","Experiment 1"
"","Philippines","body odor measurement","15","15","child neck","teen neck","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 38","Experiment 2"
"","Philippines","body odor measurement","15","15","child underarm","teen underarm","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","","","","","","Study 38","Experiment 3"
"","Philippines","body odor measurement","30","30","after excercise","youth underarm before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 1"
"","Philippines","body odor measurement","30","30","after excercise","youth Neck before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 2"
"","Philippines","body odor measurement","15","15","after excercise","Children underarm before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 3"
"","Philippines","body odor measurement","15","15","after excercise","Children Neck before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 4"
"","Philippines","body odor measurement","15","15","after excercise","teen underarm before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 5"
"","Philippines","body odor measurement","15","15","after excercise","teen Neck before","Malodor is a phenotype that is well known to arise from specific interactions between host-derived odor precursors and the microbial metabolism that they support","Homo sapiens","skin of body","WMS","","","Illumina","Mann-Whitney (Wilcoxon)","","0.01","Yes","","","","","","","","","Study 39","Experiment 6"
"","Netherlands","attention deficit hyperactivity disorder","77","19","Controls","ADHD","cases were diagnosed based on DSM-IV symptoms using the Schedule for Affective Disorders and Schizophrenia for School-Age Children","Homo sapiens","feces","16S","3","4","Roche454","Mann-Whitney (Wilcoxon)","","0.1","No","","","","unchanged","unchanged","","","","Study 40","Experiment 1"
"3 months","Finland","psychosis","16","28","Controls","FIrst episode Psychosis","","Homo sapiens","feces","16S","","","Illumina","LEfSe","2","0.05","No","age, sex, region of residence","","","","","","","","Study 41","Experiment 1"
"3 months","Finland","psychosis","16","15","Controls","FIrst episode Psychosis (physically active)","","Homo sapiens","feces","16S","","","Illumina","LEfSe","2","0.05","No","age, sex, region of residence","","","","","","","","Study 41","Experiment 2"
"4 weeks","China","extrahepatic cholestasis","37","43","healthy infants","cholestasis infants","","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","decreased","","","","","Study 42","Experiment 1"
"6 months","Turkey","behcet's syndrome","15","31","controls","behcet's disease","","Homo sapiens","oral gland","16S","4","","Illumina","LEfSe","","0.05","No","","","","","","","decreased","","Study 43","Experiment 1"
"6 months","Turkey","behcet's syndrome","19","12","non-immunosuppressent users among behcet's patients","immunosuppressant users","","Homo sapiens","oral gland","16S","4","","Illumina","LEfSe","","0.05","No","","","","","","","","","Study 43","Experiment 2"
"6 months","Italy","obesity","36","42","controls","pediatric obese","","Homo sapiens","feces","16S","","","Illumina","Linear Regression","","0.05","Yes","","age, sex","","unchanged","unchanged","","unchanged","unchanged","Study 44","Experiment 1"
"","Australia","obesity","8","8","control rats","Rats fed  HFHS","","Rattus norvegicus","feces","16S","3","4","Illumina","DESeq2","","0.05","Yes","","","","unchanged","unchanged","unchanged","","unchanged","Study 45","Experiment 1"
"previous month","Italy","obesity","33","28","controls","pediatric obese","","Homo sapiens","feces","16S","2","3","RT-qPCR","Mann-Whitney (Wilcoxon)","","0.05","No","age, sex","","","","","","","","Study 46","Experiment 1"
"2-3 months","United States of America","obesity","68","68","high dietary fiber","low","BMI ≥ 30.0 kg/m2 was considered obese","Homo sapiens","feces","16S","4","","Illumina","LEfSe","","0.05","No","","","","","unchanged","","","unchanged","Study 47","Experiment 1"
"2-3 months","United States of America","obesity","68","68","hight moderate to vigrous physical activity","low","BMI ≥ 30.0 kg/m2 was considered obese","Homo sapiens","feces","16S","4","","Illumina","LEfSe","","0.05","No","","","","","","","","","Study 47","Experiment 2"
"1 month","South Korea","obesity","67","67","control adolescent","obese adolescent","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","Mann-Whitney (Wilcoxon)","","0.05","Yes","","age, sex","","unchanged","","","","unchanged","Study 48","Experiment 1"
"1 month","South Korea","obesity","67","67","low BMI zscores","high BMI zscore","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","spearman correlation","","0.05","No","","age, sex","","","","","","","Study 48","Experiment 2"
"1 month","South Korea","obesity","67","67","low triglycerides","high triglycerides","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","spearman correlation","","0.05","No","","age, sex","","","","","","","Study 48","Experiment 3"
"1 month","South Korea","obesity","67","67","low total cholesterol","high total cholesterol","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","spearman correlation","","0.05","No","","age, sex","","","","","","","Study 48","Experiment 4"
"1 month","South Korea","obesity","67","67","low HDL-C","high HDL-C","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","spearman correlation","","0.05","No","","age, sex","","","","","","","Study 48","Experiment 5"
"1 month","South Korea","obesity","67","67","low sensetive C reactive protein","high senstive C reactive protein","body mass index BMI >= 30 kg/m2, or >= 99th BMI percentile","Homo sapiens","feces","16S","1","3","Roche454","spearman correlation","","0.05","No","","age, sex","","","","","","","Study 48","Experiment 6"
"3 months","China","obesity","29","33","controls","Obesity group","obesity group (BMI ≥30)","Homo sapiens","oral gland","16S","3","4","Illumina","Kruskall-Wallis","","0.05","Yes","","","","decreased","decreased","","","decreased","Study 49","Experiment 1"
"3 months","China","colorectal cancer","56","46","healthy controls","Colrectal cancer patients","All patients were categorized according to histopathological features by TNM classification of malignant tumors after surgery","Homo sapiens","feces","16S","3","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","unchanged","","","Study 50","Experiment 1"
"3 months","China","colorectal cancer","47","15","postoperation patients","Carcinoma patients","The adenoma and carcinoma patients were diagnosed by colonoscopic examination and histopathological review of biopsies. Postoperative patients were classified as having NDA or CIT by follow-up surveillance colonoscopy and biopsies","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.1","Yes","age, sex, body mass index","","","","","","","unchanged","Study 51","Experiment 1"
"3 months","China","colorectal cancer","26","21","CIT(cleain intestine)","NDA(new dev. adenoma)","The adenoma and carcinoma patients were diagnosed by colonoscopic examination and histopathological review of biopsies. Postoperative patients were classified as having NDA or CIT by follow-up surveillance colonoscopy and biopsies","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","2.5","0.05","Yes","age, sex, body mass index","","","","","","","decreased","Study 51","Experiment 2"
"3 months","China","substance related disorder","45","48","Healthy controls","Substance use disorder patients","","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","2","0.05","Yes","","","","","unchanged","","","increased","Study 52","Experiment 1"
"3 months","China","substance related disorder","28","29","adjusted Healthy controls","Substance use disorder patients","","Homo sapiens","feces","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","age","","","","unchanged","","","","Study 52","Experiment 2"
"current use","United States of America","chronic fatigue syndrome","10","10","healthy controls","chronic fatigue syndrome patients","patients met the ME/CFS case definition criteria established by Fukuda et al in 1994","Homo sapiens","feces","16S","","","Roche454","Kolmogorov-Smirnov test","","0.05","No","age, sex, body mass index","","","","","","","","Study 53","Experiment 1"
"prior to or during c-section","Finland","cesarean section","15","15","placenta","meconium","","Homo sapiens","meconium","16S","1","3","Roche454","LEfSe","3","0.05","Yes","","","","increased","decreased","","","unchanged","Study 54","Experiment 1"
"prior to or during c-section","Finland","cesarean section","15","15","placenta","colostrum","","Homo sapiens","meconium","16S","1","3","Roche454","LEfSe","3","0.05","Yes","","","","increased","unchanged","","","unchanged","Study 54","Experiment 2"
"","Denmark","stimulus or stress design","14","14","control","grid floor induced stress","cases were exposed to a stress factor which is a grid floor exposure for two weeks. this implies that the use of grid floor is a sufficient stressor for inducing a depression-like behavioral state in the TST.","Mus musculus","caecum","16S","4","","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","","","","","","","Study 55","Experiment 1"
